id,slug,nome,endereco,bairro,cidade,cidade_slug,ano,lat,lng,telefone,horarios,fotos,pratos,url
1,a-bodega-cachacaria,A Bodega Cachaçaria,"Av. Gov. Carlos de Lima Cavalcante, 4035 - Casa",Casa Caiada,Recife,recife,2026,,,81987356015,Segunda-feira: 11h – 22h | Sexta-feira: 11h – 22h | Sábado: 11h – 22h | Domingo: 11h – 22h,a-bodega-cachacaria_raizes-da-bodega.jpg,"[{""nome"":""Raízes da Bodega"",""descricao"":""Purê de couve na manteiga com batatas e alho frito. Acompanhado de cupim cozido grelhado na chapa, vinagrete e farofa de cupim."",""foto"":""a-bodega-cachacaria_raizes-da-bodega.jpg""}]",https://comidadibuteco.com.br/buteco/a-bodega-cachacaria/
2,bar-da-guarita,Bar da Guarita,"Rua Lígia Gomes, 40",,Recife,recife,2026,-7.9777599,-34.8900963,81998652075,Segunda-feira: 10h – 18h | Terça-feira: 10h – 18h | Quarta-feira: 10h – 18h | Quinta-feira: 10h – 18h | Sexta-feira: 10h – 18h | Sábado: 10h – 19h | Domingo: 10h – 19h,bar-da-guarita_cabidela-da-vovo.jpg,"[{""nome"":""Cabidela da vovó"",""descricao"":""Galinhada ao molho à cabidela, acompanhada de farofa de cuscuz com couve e pão na serra."",""foto"":""bar-da-guarita_cabidela-da-vovo.jpg""}]",https://comidadibuteco.com.br/buteco/bar-da-guarita/
3,4051-revision-v1,Bar do Cabo,"R. Nanuque, 37",Brasília Teimosa,Recife,recife,2026,,,81996768396,Terça-feira: 11h – 17h | Quarta-feira: 11h – 17h | Quinta-feira: 11h – 17h | Sexta-feira: 11h – 17h | Sábado: 11h – 17h | Domingo: 11h – 17h,bar-do-cabo_do-mar-ao-sertao.jpg,"[{""nome"":""Do mar ao sertão"",""descricao"":""Marisco refogado com azeite manteiga da terra, alho-poró, tomate, coentro e cebola. Acompanhado de torradas."",""foto"":""bar-do-cabo_do-mar-ao-sertao.jpg""}]",https://comidadibuteco.com.br/buteco/4051-revision-v1/
4,bar-do-lula,Bar do Lula,"R. Eng. Otávio Arantes, 0",Imbiribeira,Recife,recife,2026,-8.0861376,-34.9089028,81999210840,Segunda-feira: 11h – 16h | Terça-feira: 11h – 16h | Quarta-feira: 11h – 18h | Quinta-feira: 11h – 18h | Sexta-feira: 11h – 18h | Sábado: 11h – 18h | Domingo: 11h – 16h,bar-do-lula_rabada-da-casa.jpg,"[{""nome"":""Rabada da Casa"",""descricao"":""Rabada com legume, acompanhada de farofa de bacon com brócolis."",""foto"":""bar-do-lula_rabada-da-casa.jpg""}]",https://comidadibuteco.com.br/buteco/bar-do-lula/
5,bar-do-peixe-5,Bar do Peixe,"Rua Albacora, 26",Brasília Teimosa,Recife,recife,2026,-8.0856578,-34.879957,(81) 98689-0625 | (81) 99201-1927,,bar-do-peixe_camarao-teimoso.jpg,"[{""nome"":""Camarão Teimoso"",""descricao"":""Camarão ao alho e óleo frito na manteiga, servido com repolho, pimentão verde e cebolas."",""foto"":""bar-do-peixe_camarao-teimoso.jpg""}]",https://comidadibuteco.com.br/buteco/bar-do-peixe-5/
6,bar-do-ro,Bar do Ró,"R. São João, 345",Guadalupe,Recife,recife,2026,-8.0693606,-34.8835495,81988170833,Quarta-feira: 11h – 22h | Quinta-feira: 11h – 22h | Sexta-feira: 11h – 22h | Sábado: 11h – 22h | Domingo: 11h – 22h,bar-do-ro_rabada-pernambucana.jpg,"[{""nome"":""Rabada Pernambucana"",""descricao"":""Rabada acompanhada de cuscuz colorido nordestino."",""foto"":""bar-do-ro_rabada-pernambucana.jpg""}]",https://comidadibuteco.com.br/buteco/bar-do-ro/
7,10360-revision-v1,Bar do Vizinho,"Rua da Santa Cruz, 0",Boa Vista,Recife,recife,2026,-8.0641085,-34.8892417,81998905851,Quarta-feira: 10h – 16h | Quinta-feira: 10h – 16h | Sexta-feira: 10h – 17h | Sábado: 10h – 17h | Domingo: 10h – 16h,bar-do-vizinho_kumamda-da-terra.jpg,"[{""nome"":""Kumamda da Terra"",""descricao"":""Bolinhos com massa de feijão vermelho, recheados com pernil de porco temperado com ervas da terra, couve, bacon, queijo e calabresa. Servido com vinagrete de feijão vermelho pouco apimentado e pimenta-de-cheiro e acompanhado por mel de engenho, anis estrelado e canela."",""foto"":""bar-do-vizinho_kumamda-da-terra.jpg""}]",https://comidadibuteco.com.br/buteco/10360-revision-v1/
8,bar-rancho-fundo,Bar Rancho Fundo,"Rua Parary, 58",Areias,Recife,recife,2026,-8.0890988,-34.936607,(81) 98378-9320 | (81) 99991-8254,Segunda-feira: 11h – 18h | Terça-feira: 11h – 18h | Quarta-feira: 11h – 18h | Quinta-feira: 11h – 18h | Sexta-feira: 11h – 18h | Sábado: 11h – 18h | Domingo: 11h – 18h,bar-rancho-fundo_arrumadinho-do-rancho.jpg,"[{""nome"":""Arrumadinho do Rancho"",""descricao"":""Arrumadinho de charque refogado na manteiga de garrafa acompanhada de feijão-verde, farofa, vinagrete, ovos de codorna, azeitonas, pimenta-biquinho e salada."",""foto"":""bar-rancho-fundo_arrumadinho-do-rancho.jpg""}]",https://comidadibuteco.com.br/buteco/bar-rancho-fundo/
9,barraca-beer,Barraca Beer,"R. Padre Lemos, 785",Casa Amarela,Recife,recife,2026,-8.0214161,-34.9214026,81979137865,Segunda-feira: 18h – 1h | Quarta-feira: 18h – 1h | Quinta-feira: 18h – 1h | Sexta-feira: 18h – 2h | Sábado: 18h – 2h | Domingo: 17h – 0h,barraca-beer_rabada-raiz.jpg,"[{""nome"":""Rabada raiz"",""descricao"":""Rabada guisada ao molho encorpado, acompanhada de duas porções de conservas e farofa crocante de torresmo com couve."",""foto"":""barraca-beer_rabada-raiz.jpg""}]",https://comidadibuteco.com.br/buteco/barraca-beer/
10,barteco,Barteco,"Rua Bom Pastor, 366",Iputinga,Recife,recife,2026,-8.0439108,-34.9396973,81991554605,Terça-feira: 11h – 22h30 | Quarta-feira: 11h – 22h30 | Quinta-feira: 11h – 22h30 | Sexta-feira: 11h – 22h30 | Sábado: 11h – 22h30 | Domingo: 11h – 22h30,barteco_frangorama.jpg,"[{""nome"":""Frangorama"",""descricao"":""Sobrecoxa crocante glaceada em sweet kimchi (agridoce e umami), batatas canoa e geleia artesanal de kimchi."",""foto"":""barteco_frangorama.jpg""}]",https://comidadibuteco.com.br/buteco/barteco/
11,belem-2,Belém,"R. Pedro Alves, 79",Encruzilhada,Recife,recife,2026,-8.0362434,-34.892072,81996962641,Segunda-feira: 19h – 0h | Quinta-feira: 19h – 0h | Sexta-feira: 19h – 1h | Sábado: 16h – 1h | Domingo: 16h – 22h,belem_nossa-terra.jpg,"[{""nome"":""Nossa Terra"",""descricao"":""Chips de macaxeira, ragu de charque na nata com manteiga de garrafa, creme de jerimum com alho-poró e conservas crocantes."",""foto"":""belem_nossa-terra.jpg""}]",https://comidadibuteco.com.br/buteco/belem-2/
12,bistro-do-alto,Bistrô do Alto,"R. Altino, 76",Casa Amarela,Recife,recife,2026,-8.026611,-34.9244008,81984382132,Sexta-feira: 11h30 – 19h | Sábado: 11h30 – 19h | Domingo: 11h30 – 19h,bistro-do-alto_coxinha-de-moqueca.jpg,"[{""nome"":""Coxinha de Moqueca"",""descricao"":""Coxinha sem massa de moqueca de peixe, camarão e alho-poró, acompanhada de maionese caseira de cenoura e hortelã."",""foto"":""bistro-do-alto_coxinha-de-moqueca.jpg""}]",https://comidadibuteco.com.br/buteco/bistro-do-alto/
13,bodega-bento-muniz,Bodega Bento Muniz,"R. Manoel Salvador, 140 - Casa",Barro,Recife,recife,2026,,,(81) 99814-7882 | (81) 98700-1441,Terça-feira: 11h – 19h | Quarta-feira: 11h – 19h | Quinta-feira: 11h – 19h | Sexta-feira: 11h – 23h | Sábado: 11h – 23h | Domingo: 11h – 19h,bodega-bento-muniz_rabada-do-chef.jpg,"[{""nome"":""Rabada do Chef"",""descricao"":""Rabada guisada, acompanhada de refogado de couve-flor e pão serrilhado."",""foto"":""bodega-bento-muniz_rabada-do-chef.jpg""}]",https://comidadibuteco.com.br/buteco/bodega-bento-muniz/
14,4069-revision-v1,Boteco da Pequena,"R. Agrestina, 5318",Candeias,Recife,recife,2026,-8.0386901,-34.9145346,81998245245,Quinta-feira: 17h – 23h | Sexta-feira: 17h – 23h | Sábado: 11h – 19h | Domingo: 11h – 19h,boteco-da-pequena_maxixada-praiana.jpg,"[{""nome"":""Maxixada Praiana"",""descricao"":""Ensopado de maxixe com sururu, farofa de couve e coco queimado."",""foto"":""boteco-da-pequena_maxixada-praiana.jpg""}]",https://comidadibuteco.com.br/buteco/4069-revision-v1/
15,boteco-do-sivirino,Boteco do Sivirino,"Rua Larga do Feitosa, 138",Encruzilhada,Recife,recife,2026,-8.0355126,-34.8860735,81982714421,Terça-feira: 11h – 23h30 | Quarta-feira: 11h – 23h30 | Quinta-feira: 11h – 23h30 | Sexta-feira: 11h – 23h30 | Sábado: 11h – 23h30 | Domingo: 11h – 22h,boteco-do-sivirino_rabicho-crocante.jpg,"[{""nome"":""Rabicho Crocante"",""descricao"":""Croquete de couve com rabada desfiada e queijo coalho, acompanhado de aioli de coentro."",""foto"":""boteco-do-sivirino_rabicho-crocante.jpg""}]",https://comidadibuteco.com.br/buteco/boteco-do-sivirino/
16,boteco-nem-a-pau-juvenal-2,"Boteco Nem a Pau, Juvenal","Rua da Regeneração, 640",Arruda,Recife,recife,2026,-8.021423,-34.8864953,81987840857,Quarta-feira: 17h – 23h30 | Quinta-feira: 17h – 23h30 | Sexta-feira: 17h – 1h30 | Sábado: 17h – 1h30 | Domingo: 15h – 23h30,boteco-nem-a-pau-juvenal_porquinho-do-sol.jpg,"[{""nome"":""Porquinho do Sol"",""descricao"":""Carne de sol suína puxada na manteiga e alecrim, preparada com feijão-verde, vinagrete, farofa de linguiça matuta com toque de dendê e crispy de couve."",""foto"":""boteco-nem-a-pau-juvenal_porquinho-do-sol.jpg""}]",https://comidadibuteco.com.br/buteco/boteco-nem-a-pau-juvenal-2/
17,caldinho-da-sosso,Caldinho da Sossó,"Rua Professor Otávio de Freitas, 400",Encruzilhada,Recife,recife,2026,-8.0335222,-34.8924598,81998122319,Quarta-feira: 17h – 0h | Quinta-feira: 17h – 0h | Sexta-feira: 17h – 0h | Sábado: 17h – 0h,caldinho-da-sosso_tilapia-tropical.jpg,"[{""nome"":""Tilápia Tropical"",""descricao"":""Filé de tilápia empanado, acompanhado de fritas, salada tropical de repolho com abacaxi ao molho mostarda e mel."",""foto"":""caldinho-da-sosso_tilapia-tropical.jpg""}]",https://comidadibuteco.com.br/buteco/caldinho-da-sosso/
